alpha,mmse,q
3.4077041959194334,0.2665982782238192,2.733401721776181
3.578603821185289,0.25560575669678265,2.7443942433032174
3.758074226142346,0.2466977648818287,2.7533022351181713
3.946545243591004,0.23809867261040818,2.761901327389592
4.144468262857783,0.23183795103244753,2.7681620489675525
4.3523173108757325,0.22284013125169144,2.7771598687483086
4.570590187482051,0.21270202183026887,2.787297978169731
4.799809657651974,0.20555576003195286,2.794444239968047
5.040524703524327,0.19710166428562736,2.8028983357143726
5.293311839217358,0.19063142772701447,2.8093685722729855
5.558776491583842,0.1828201564179297,2.8171798435820703
5.837554450212375,0.17663650593190372,2.8233634940680963
6.130313390147638,0.17033752737479047,2.8296624726252095
6.43775447097649,0.16312226050626188,2.836877739493738
6.760614016109813,0.15773394144657438,2.8422660585534256
7.09966527628192,0.15120651434032428,2.8487934856596757
