,alpha,mmse,q
64,0.022603215686274505,0.8570424510838044,0.34295754891619556
65,0.022956078431372543,0.8539124693261337,0.34608753067386616
66,0.023308941176470584,0.8507472773264062,0.3492527226735938
67,0.023661803921568622,0.8475666752853894,0.3524333247146105
68,0.024014666666666663,0.8443617557661928,0.3556382442338072
69,0.0243675294117647,0.8411328338504285,0.3588671661495715
70,0.02472039215686274,0.8378699613190126,0.36213003868098737
71,0.02507325490196078,0.8345928645108642,0.36540713548913567
72,0.025426117647058818,0.8312926449576225,0.3687073550423775
73,0.02577898039215686,0.8279696287326003,0.3720303712673997
74,0.026131843137254897,0.8246141394191853,0.3753858605808147
75,0.026484705882352935,0.8212454798917654,0.3787545201082345
76,0.026837568627450976,0.8178549360121331,0.38214506398786685
77,0.027190431372549013,0.8144428395218228,0.3855571604781771
78,0.027543294117647055,0.8110095240235695,0.3889904759764304
79,0.027896156862745092,0.8075446668607978,0.3924553331392021
80,0.02824901960784313,0.8040688789141003,0.3959311210858997
81,0.02860188235294117,0.80057280071244,0.39942719928756004
82,0.02895474509803921,0.7970567664450938,0.4029432335549062
83,0.02930760784313725,0.7935108183148312,0.4064891816851688
84,0.029660470588235288,0.7899549017070709,0.410045098292929
85,0.03001333333333333,0.7863799605046033,0.4136200394953966
86,0.030366196078431367,0.7827863266381383,0.4172136733618616
87,0.030719058823529405,0.7791743320727571,0.4208256679272428
88,0.031071921568627446,0.775533406576741,0.42446659342325893
89,0.03142478431372549,0.7718846918080543,0.42811530819194565
90,0.03177764705882352,0.7682185360156336,0.43178146398436634
91,0.03213050980392156,0.7645352650775115,0.43546473492248844
92,0.032483372549019604,0.7608245922049406,0.43917540779505937
93,0.03283623529411764,0.7571071140862664,0.4428928859137336
94,0.03318909803921568,0.7533734199090827,0.44662658009091727
95,0.03354196078431372,0.7496238254086696,0.4503761745913304
96,0.03389482352941176,0.7458482427445955,0.45415175725540446
97,0.034247686274509796,0.7420668693958579,0.45793313060414204
98,0.03460054901960784,0.7382704616181827,0.4617295383818173
99,0.03495341176470588,0.7344593219927833,0.46554067800721666
100,0.03530627450980391,0.730623477574714,0.46937652242528594
101,0.035659137254901954,0.7267828798775593,0.4732171201224406
102,0.036011999999999995,0.7229283799848827,0.47707162001511727
103,0.03636486274509803,0.719060269672081,0.4809397303279189
104,0.03671772549019607,0.7151686126218697,0.48483138737813025
105,0.03707058823529411,0.7112732764738474,0.48872672352615254
106,0.03742345098039215,0.7073651405661113,0.4926348594338886
107,0.03777631372549019,0.703444494839018,0.4965555051609819
108,0.03812917647058823,0.6995013671385989,0.5004986328614011
109,0.03848203921568627,0.6955557076490906,0.5044442923509094
110,0.038834901960784304,0.6915983579990956,0.5084016420009043
111,0.039187764705882346,0.6876296133219281,0.5123703866780719
112,0.03954062745098039,0.6836393882477058,0.5163606117522942
113,0.03989349019607842,0.6796478713200549,0.5203521286799451
114,0.04024635294117646,0.6756457864005021,0.5243542135994979
