alpha,q,mmse
10.776954389178323,0.9176639744910884,0.08233602550891161
11.084143341368446,0.9195839073870218,0.08041609261297822
11.400088482825014,0.9220885680249556,0.07791143197504435
11.725039402115364,0.923887778768534,0.07611222123146599
12.059252802140554,0.9262437908931708,0.07375620910682923
12.402992702924134,0.9276072023513278,0.07239279764867224
12.756530650181183,0.9293833249722384,0.07061667502776159
13.120145929832477,0.931998327624202,0.06800167237579802
13.494125788633196,0.933692320545132,0.06630767945486804
13.878765661090515,0.9349584949356868,0.06504150506431317
14.274369402849276,0.93784536835589,0.06215463164410995
14.68124953073022,0.9386043783512988,0.06139562164870116
15.099727469610182,0.941026054260385,0.05897394573961501
15.530133806339569,0.942945143788448,0.05705485621155204
15.97280855089748,0.9441120731955762,0.05588792680442378
16.428101404990898,0.9458304169426984,0.054169583057301574
